Roseola	83.293	0.0	0.0	0.0	4.9	4.9	0.0	78.393	0.0	0.0	0.0	0.0	0.0	63.694	0.0	0.0	0.0	24.498	0.0	0.0	0.0	0.0	0.0	
Haemorrhoids	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Laryngitis	6.001	6.001	0.0	0.0	9.001	15.002	0.0	0.0	0.0	0.0	9.001	0.0	0.0	45.005	0.0	3.0	18.002	0.0	57.006	0.0	0.0	0.0	0.0	
Urinary tract infection	8.832	0.0	0.0	0.0	0.0	0.0	1.104	0.0	0.0	0.0	0.0	1.104	0.0	59.616	0.0	0.0	3.312	1.104	0.0	27.6	1.104	0.0	1.104	
Osteoporosis	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.208	1.481	0.0	0.0	1.481	0.0	0.0	0.0	102.169	0.0	
Pneumonia	4.759	0.68	0.0	1.36	0.0	9.518	0.68	0.0	0.0	0.68	0.0	0.68	0.68	52.349	0.68	21.076	4.759	0.0	0.0	1.36	1.36	0.0	0.68	
Psoriasis	0.0	0.0	0.0	0.0	10.397	0.0	0.743	3.713	0.0	5.198	0.743	0.743	0.743	66.092	0.743	0.743	10.397	0.0	0.0	0.0	0.0	0.0	0.0	
Ringworm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sinusitis	3.994	65.238	1.331	0.0	2.663	5.326	0.0	0.0	0.0	1.331	1.331	0.0	21.302	46.598	6.657	1.331	9.32	1.331	0.0	0.0	0.0	0.0	0.0	
Norovirus	4.137	2.758	0.0	11.033	0.0	1.379	4.137	5.516	0.0	0.0	0.0	0.0	5.516	75.852	0.0	0.0	1.379	0.0	0.0	1.379	0.0	0.0	2.758	
Cholecystitis	15.869	0.0	0.0	0.0	0.0	0.0	9.068	0.0	0.0	0.0	0.0	0.0	0.0	36.273	0.0	0.0	31.739	0.0	0.0	0.0	0.0	0.0	22.671	
Pancreatitis	4.129	0.0	0.0	2.064	0.0	0.0	6.193	0.0	0.0	0.0	0.0	0.0	0.0	51.61	0.0	0.0	12.386	0.0	0.0	0.0	0.0	0.0	18.58	
Appendicitis	3.157	0.0	0.0	1.052	3.157	2.104	4.209	0.0	0.0	0.0	0.0	0.0	0.0	64.184	1.052	0.0	12.626	0.0	0.0	2.104	0.0	0.0	36.827	
Cirrhosis	2.405	0.0	0.0	0.0	4.81	0.0	0.0	0.0	0.0	0.0	0.0	2.405	0.0	75.758	1.203	1.203	6.013	0.0	0.0	3.608	0.0	0.0	7.215	
Clostridium difficile	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.027	0.0	0.0	0.0	0.0	0.0	0.0	
Celiac disease	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Croup	8.842	0.0	0.0	0.0	0.0	26.525	0.0	0.0	0.0	0.0	2.947	0.0	0.0	58.945	0.0	8.842	0.0	0.0	2.947	0.0	0.0	0.0	0.0	
Deep vein thrombosis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.382	0.0	10.569	0.813	0.0	0.0	0.0	0.0	0.813	1.626	
Endometriosis	0.795	0.0	0.0	0.795	0.795	0.0	0.795	0.795	0.0	0.0	0.0	0.795	0.795	65.967	0.0	0.0	3.974	0.0	0.795	0.0	0.0	0.0	8.743	
Ganglion cyst	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.768	0.0	0.0	0.0	109.152	0.0	0.0	2.799	0.0	0.0	0.0	0.0	0.0	0.0	
Fifth disease	28.633	0.0	0.0	0.0	14.316	0.0	0.0	71.582	0.0	14.316	0.0	0.0	7.158	57.266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hand, foot and mouth disease	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hepatitis B	1.919	0.0	0.0	0.0	1.919	0.96	0.96	0.96	0.0	0.0	0.0	1.919	0.0	65.253	0.0	0.0	1.919	0.0	0.0	2.879	0.0	0.0	1.919	
Hepatitis C	0.735	0.735	0.0	0.0	0.0	0.0	0.735	0.0	0.0	0.735	0.735	1.47	0.0	44.84	0.0	0.0	0.735	0.0	0.0	0.735	0.0	0.0	0.735	
Irritable bowel syndrome	1.207	0.0	0.0	16.289	0.0	0.0	1.207	2.413	0.0	0.603	0.0	3.62	2.413	80.236	3.62	0.603	7.239	0.0	0.0	0.0	0.0	0.0	17.495	
Vaginal thrush	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Kidney stones	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Lupus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Lyme disease	3.501	0.0	0.0	0.0	1.751	0.0	0.0	8.315	0.0	5.69	0.438	3.501	2.188	64.335	5.252	0.0	0.875	0.0	0.0	3.064	0.0	0.0	0.0	
Ulcerative colitis	4.508	0.0	0.0	6.311	0.0	0.0	0.0	0.0	0.0	4.508	0.0	0.0	0.0	64.918	2.705	0.0	24.344	0.0	0.0	0.0	0.0	0.0	7.213	
Scabies	0.0	0.0	0.0	0.0	25.377	0.0	0.0	5.971	0.0	0.0	0.0	0.0	0.0	70.16	0.0	0.0	0.0	0.0	0.0	1.493	0.0	0.0	0.0	
Shingles	3.92	0.0	0.0	0.0	2.94	0.0	0.0	35.284	0.0	0.0	0.0	0.0	2.94	117.612	5.881	1.96	3.92	0.0	0.0	0.0	0.0	0.0	0.0	
Tonsillitis	25.357	0.0	0.0	0.0	0.0	2.305	2.305	0.0	0.0	0.0	16.136	2.305	2.305	78.377	0.0	0.0	9.221	0.0	2.305	0.0	2.305	0.0	0.0	
